sample	input_csv	rows_read	records_written	output_fasta
MOT36308	project/task3/step1_mhc_tables/MOT36308.mhc_step1.csv	47	47	project/task3/step2_mhc_fasta/MOT36308.mhc_step2.fa
MOT36309	project/task3/step1_mhc_tables/MOT36309.mhc_step1.csv	47	47	project/task3/step2_mhc_fasta/MOT36309.mhc_step2.fa
MOT36311	project/task3/step1_mhc_tables/MOT36311.mhc_step1.csv	50	50	project/task3/step2_mhc_fasta/MOT36311.mhc_step2.fa
MOT36312	project/task3/step1_mhc_tables/MOT36312.mhc_step1.csv	51	51	project/task3/step2_mhc_fasta/MOT36312.mhc_step2.fa
MOT36313	project/task3/step1_mhc_tables/MOT36313.mhc_step1.csv	52	52	project/task3/step2_mhc_fasta/MOT36313.mhc_step2.fa
MOT36314	project/task3/step1_mhc_tables/MOT36314.mhc_step1.csv	50	50	project/task3/step2_mhc_fasta/MOT36314.mhc_step2.fa
MOT36315	project/task3/step1_mhc_tables/MOT36315.mhc_step1.csv	49	49	project/task3/step2_mhc_fasta/MOT36315.mhc_step2.fa
MOT36316	project/task3/step1_mhc_tables/MOT36316.mhc_step1.csv	52	52	project/task3/step2_mhc_fasta/MOT36316.mhc_step2.fa
MOT36317	project/task3/step1_mhc_tables/MOT36317.mhc_step1.csv	53	53	project/task3/step2_mhc_fasta/MOT36317.mhc_step2.fa
MOT36318	project/task3/step1_mhc_tables/MOT36318.mhc_step1.csv	50	50	project/task3/step2_mhc_fasta/MOT36318.mhc_step2.fa
MOT36319	project/task3/step1_mhc_tables/MOT36319.mhc_step1.csv	51	51	project/task3/step2_mhc_fasta/MOT36319.mhc_step2.fa
MOT36320	project/task3/step1_mhc_tables/MOT36320.mhc_step1.csv	51	51	project/task3/step2_mhc_fasta/MOT36320.mhc_step2.fa
MOT36321	project/task3/step1_mhc_tables/MOT36321.mhc_step1.csv	52	52	project/task3/step2_mhc_fasta/MOT36321.mhc_step2.fa
MOT36322	project/task3/step1_mhc_tables/MOT36322.mhc_step1.csv	50	50	project/task3/step2_mhc_fasta/MOT36322.mhc_step2.fa
MOT36323	project/task3/step1_mhc_tables/MOT36323.mhc_step1.csv	51	51	project/task3/step2_mhc_fasta/MOT36323.mhc_step2.fa
MOT36324	project/task3/step1_mhc_tables/MOT36324.mhc_step1.csv	48	48	project/task3/step2_mhc_fasta/MOT36324.mhc_step2.fa
MOT36325	project/task3/step1_mhc_tables/MOT36325.mhc_step1.csv	50	50	project/task3/step2_mhc_fasta/MOT36325.mhc_step2.fa
MOT36326	project/task3/step1_mhc_tables/MOT36326.mhc_step1.csv	53	53	project/task3/step2_mhc_fasta/MOT36326.mhc_step2.fa
MOT36327	project/task3/step1_mhc_tables/MOT36327.mhc_step1.csv	50	50	project/task3/step2_mhc_fasta/MOT36327.mhc_step2.fa
MOT36328	project/task3/step1_mhc_tables/MOT36328.mhc_step1.csv	50	50	project/task3/step2_mhc_fasta/MOT36328.mhc_step2.fa
