sample	input_csv	total_rows	mhc_rows	output_csv
MOT36308	project/csv/MOT36308.task1.csv	734	47	project/task3/step1_mhc_tables/MOT36308.mhc_step1.csv
MOT36309	project/csv/MOT36309.task1.csv	785	47	project/task3/step1_mhc_tables/MOT36309.mhc_step1.csv
MOT36311	project/csv/MOT36311.task1.csv	841	50	project/task3/step1_mhc_tables/MOT36311.mhc_step1.csv
MOT36312	project/csv/MOT36312.task1.csv	829	51	project/task3/step1_mhc_tables/MOT36312.mhc_step1.csv
MOT36313	project/csv/MOT36313.task1.csv	833	52	project/task3/step1_mhc_tables/MOT36313.mhc_step1.csv
MOT36314	project/csv/MOT36314.task1.csv	835	50	project/task3/step1_mhc_tables/MOT36314.mhc_step1.csv
MOT36315	project/csv/MOT36315.task1.csv	833	49	project/task3/step1_mhc_tables/MOT36315.mhc_step1.csv
MOT36316	project/csv/MOT36316.task1.csv	833	52	project/task3/step1_mhc_tables/MOT36316.mhc_step1.csv
MOT36317	project/csv/MOT36317.task1.csv	836	53	project/task3/step1_mhc_tables/MOT36317.mhc_step1.csv
MOT36318	project/csv/MOT36318.task1.csv	821	50	project/task3/step1_mhc_tables/MOT36318.mhc_step1.csv
MOT36319	project/csv/MOT36319.task1.csv	830	51	project/task3/step1_mhc_tables/MOT36319.mhc_step1.csv
MOT36320	project/csv/MOT36320.task1.csv	834	51	project/task3/step1_mhc_tables/MOT36320.mhc_step1.csv
MOT36321	project/csv/MOT36321.task1.csv	821	52	project/task3/step1_mhc_tables/MOT36321.mhc_step1.csv
MOT36322	project/csv/MOT36322.task1.csv	830	50	project/task3/step1_mhc_tables/MOT36322.mhc_step1.csv
MOT36323	project/csv/MOT36323.task1.csv	842	51	project/task3/step1_mhc_tables/MOT36323.mhc_step1.csv
MOT36324	project/csv/MOT36324.task1.csv	823	48	project/task3/step1_mhc_tables/MOT36324.mhc_step1.csv
MOT36325	project/csv/MOT36325.task1.csv	820	50	project/task3/step1_mhc_tables/MOT36325.mhc_step1.csv
MOT36326	project/csv/MOT36326.task1.csv	819	53	project/task3/step1_mhc_tables/MOT36326.mhc_step1.csv
MOT36327	project/csv/MOT36327.task1.csv	823	50	project/task3/step1_mhc_tables/MOT36327.mhc_step1.csv
MOT36328	project/csv/MOT36328.task1.csv	844	50	project/task3/step1_mhc_tables/MOT36328.mhc_step1.csv
